City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
51,Nelson Bay,AU,2022-06-12 02:49:25,-32.7167,152.15,63.0,51,0,5.01
52,Duku,NG,2022-06-12 02:49:25,11.2361,4.9073,78.87,70,100,5.28
53,Naze,JP,2022-06-12 02:49:25,28.3667,129.4833,79.72,78,89,4.41
54,Antalya,TR,2022-06-12 02:49:26,36.7741,30.7178,70.39,87,40,9.22
55,Bluff,NZ,2022-06-12 02:49:26,-46.6,168.3333,46.8,80,100,8.57
56,Touros,BR,2022-06-12 02:49:27,-5.1989,-35.4608,75.96,86,44,5.99
57,Nizhneudinsk,RU,2022-06-12 02:49:27,54.9076,99.0276,77.29,35,100,6.53
58,Kutum,SD,2022-06-12 02:49:27,14.2,24.6667,75.15,55,98,7.58
59,Dikson,RU,2022-06-12 02:49:28,73.5069,80.5464,38.52,82,100,3.6
60,Vangaindrano,MG,2022-06-12 02:49:28,-23.35,47.6,66.83,88,88,5.06
61,Gwanda,ZW,2022-06-12 02:49:29,-20.9333,29.0,49.26,87,0,3.47
62,Faanui,PF,2022-06-12 02:49:29,-16.4833,-151.75,79.83,75,13,14.36
63,Madang,PG,2022-06-12 02:49:29,-5.2246,145.7966,85.12,66,88,7.07
64,Qaanaaq,GL,2022-06-12 02:49:30,77.484,-69.3632,27.34,88,100,3.47
65,Polican,AL,2022-06-12 02:49:30,40.6122,20.0981,61.25,71,2,5.46
66,Adwa,ET,2022-06-12 02:49:31,14.1646,38.8955,68.59,30,58,3.27
67,Hobart,AU,2022-06-12 02:46:47,-42.8794,147.3294,46.26,71,75,23.02
68,Chokurdakh,RU,2022-06-12 02:49:31,70.6333,147.9167,65.64,22,96,11.86
69,New Norfolk,AU,2022-06-12 02:49:31,-42.7826,147.0587,45.9,79,68,1.99
70,Lithakia,GR,2022-06-12 02:44:41,37.7167,20.8333,67.28,83,20,0.0
71,Asau,RO,2022-06-12 02:49:32,46.4333,26.4,61.72,95,100,4.97
72,Lebu,CL,2022-06-12 02:49:32,-37.6167,-73.65,47.71,78,100,5.66
73,Cidreira,BR,2022-06-12 02:49:33,-30.1811,-50.2056,46.87,66,0,21.12
74,Lompoc,US,2022-06-12 02:47:26,34.6391,-120.4579,82.54,76,0,11.5
75,Clyde River,CA,2022-06-12 02:49:33,70.4692,-68.5914,32.23,93,100,4.61
76,Nanortalik,GL,2022-06-12 02:49:34,60.1432,-45.2371,42.31,85,100,5.57
77,Price,US,2022-06-12 02:49:34,39.5994,-110.8107,90.66,10,0,6.91
78,Evensk,RU,2022-06-12 02:49:35,61.95,159.2333,44.08,79,100,2.3
79,Luderitz,NA,2022-06-12 02:49:35,-26.6481,15.1594,61.88,55,2,7.56
80,Thompson,CA,2022-06-12 02:49:35,55.7435,-97.8558,68.16,40,40,3.44
81,Castro,BR,2022-06-12 02:49:36,-24.7911,-50.0119,40.8,74,84,4.63
82,Vila Velha,BR,2022-06-12 02:46:19,-20.3297,-40.2925,69.94,82,75,2.3
83,Atuona,PF,2022-06-12 02:49:36,-9.8,-139.0333,78.06,66,0,13.56
84,Ust-Maya,RU,2022-06-12 02:49:37,60.4167,134.5333,64.74,68,100,7.61
85,Bundaberg,AU,2022-06-12 02:46:17,-24.85,152.35,63.21,57,100,3.0
86,Vagay,RU,2022-06-12 02:49:37,57.9375,69.0217,58.17,88,66,5.7
87,Lubango,AO,2022-06-12 02:49:38,-14.9172,13.4925,52.88,45,2,2.98
88,Tiksi,RU,2022-06-12 02:51:06,71.6872,128.8694,39.33,71,52,7.92
89,Mayo,US,2022-06-12 02:51:07,38.8876,-76.5119,69.04,90,100,3.44
90,Narasannapeta,IN,2022-06-12 02:51:07,18.4167,84.05,89.65,58,97,8.25
91,Port Elizabeth,ZA,2022-06-12 02:48:16,-33.918,25.5701,71.31,28,0,6.91
92,La Paz,BO,2022-06-12 02:51:08,-16.5,-68.15,26.58,63,0,6.91
93,Port Alfred,ZA,2022-06-12 02:51:08,-33.5906,26.891,70.18,36,56,5.99
94,Balabac,PH,2022-06-12 02:51:09,7.9868,117.0645,86.38,64,16,8.43
95,Longyearbyen,SJ,2022-06-12 02:51:09,78.2186,15.6401,36.1,90,99,1.1
96,Aklavik,CA,2022-06-12 02:51:09,68.2191,-135.0107,36.79,88,100,13.51
97,Aguimes,ES,2022-06-12 02:51:11,27.9054,-15.4461,66.83,78,75,27.63
98,Jurm,AF,2022-06-12 02:51:11,36.8648,70.8342,70.05,50,58,2.73
99,Pochutla,MX,2022-06-12 02:51:12,15.7432,-96.4661,75.81,90,94,1.86
100,Khatanga,RU,2022-06-12 02:51:12,71.9667,102.5,58.21,43,61,8.72
101,Igdir,TR,2022-06-12 02:51:12,39.9237,44.045,66.13,68,43,0.34
102,Yellowknife,CA,2022-06-12 02:51:13,62.456,-114.3525,61.32,67,75,12.66
103,Vostok,RU,2022-06-12 02:51:13,46.4856,135.8833,67.39,38,1,5.7
104,Fort Nelson,CA,2022-06-12 02:49:02,58.8053,-122.7002,67.59,40,40,3.44
105,Tezu,IN,2022-06-12 02:51:14,27.9167,96.1667,73.27,98,100,4.76
106,Malakal,SS,2022-06-12 02:48:35,9.5334,31.6605,76.44,66,93,3.65
107,Garowe,SO,2022-06-12 02:51:15,8.4054,48.4845,76.01,67,100,24.07
108,Husavik,IS,2022-06-12 02:51:16,66.0449,-17.3389,42.89,99,100,9.26
109,Woodstock,CA,2022-06-12 02:47:30,43.1334,-80.7497,65.43,90,92,7.0
110,Carnarvon,AU,2022-06-12 02:51:17,-24.8667,113.6333,72.57,60,50,11.52
111,Kondoa,TZ,2022-06-12 02:51:17,-4.9,35.7833,55.81,95,27,3.78
112,Ajdabiya,LY,2022-06-12 02:51:17,30.7554,20.2263,70.74,79,0,10.07
113,Srednekolymsk,RU,2022-06-12 02:51:18,67.45,153.6833,69.84,31,39,8.46
114,Bethel,US,2022-06-12 02:51:18,41.3712,-73.414,64.9,86,0,0.0
115,Asfi,MA,2022-06-12 02:51:19,32.2994,-9.2372,68.11,96,51,7.61
116,Pangnirtung,CA,2022-06-12 02:51:19,66.1451,-65.7125,30.83,98,96,2.51
117,Kasamwa,TZ,2022-06-12 02:51:19,-2.85,32.4333,64.83,77,99,4.03
118,Byron Bay,AU,2022-06-12 02:50:17,-28.65,153.6167,68.7,37,86,9.04
119,Sola,VU,2022-06-12 02:51:20,-13.8833,167.55,80.78,77,22,9.42
120,Mount Gambier,AU,2022-06-12 02:51:21,-37.8333,140.7667,51.71,93,75,18.41
121,Walvis Bay,NA,2022-06-12 02:51:21,-22.9575,14.5053,65.35,39,0,9.22
122,Kapaa,US,2022-06-12 02:51:21,22.0752,-159.319,79.12,81,40,16.11
123,Pavino,RU,2022-06-12 02:51:22,59.1139,46.1414,48.2,61,0,7.94
124,Acarau,BR,2022-06-12 02:51:22,-2.8856,-40.12,75.6,84,27,8.86
125,Werda,BW,2022-06-12 02:51:23,-25.2667,23.2833,48.79,59,1,9.78
126,Northam,GB,2022-06-12 02:51:23,51.0333,-4.2167,55.62,88,24,10.36
127,Hovd,MN,2022-06-12 02:51:23,48.0056,91.6419,75.63,24,1,3.29
128,Viedma,AR,2022-06-12 02:51:24,-40.8135,-62.9967,50.43,42,78,10.69
129,Geraldton,AU,2022-06-12 02:51:24,-28.7667,114.6,64.81,94,100,14.97
130,Hilo,US,2022-06-12 02:49:48,19.7297,-155.09,79.29,85,100,11.5
131,Nikolskoye,RU,2022-06-12 02:51:30,59.7035,30.7861,64.71,78,100,3.49
132,Nola,IT,2022-06-12 02:51:30,40.922,14.5329,73.92,76,0,5.08
133,Hervey Bay,AU,2022-06-12 02:51:31,-25.2986,152.8535,63.64,44,97,12.01
134,Devils Lake,US,2022-06-12 02:51:31,48.1128,-98.8651,69.91,68,0,0.0
135,The Valley,AI,2022-06-12 02:51:32,18.217,-63.0578,82.26,82,32,20.36
136,San Patricio,US,2022-06-12 02:51:32,28.017,-97.5169,84.54,82,37,16.17
137,Salas,ES,2022-06-12 02:51:32,43.4118,-6.2602,58.77,99,100,4.72
138,Andilamena,MG,2022-06-12 02:51:33,-17.0167,48.5833,57.33,92,91,9.73
139,Avera,US,2022-06-12 02:51:33,33.194,-82.5271,79.56,74,53,8.3
140,Iqaluit,CA,2022-06-12 02:51:34,63.7506,-68.5145,42.53,65,75,17.27
141,Urumqi,CN,2022-06-12 02:51:34,43.801,87.6005,90.55,14,0,4.47
142,Provideniya,RU,2022-06-12 02:51:35,64.3833,-173.3,39.04,70,100,1.72
143,Anadyr,RU,2022-06-12 02:51:35,64.75,177.4833,41.5,70,20,17.9
144,Najran,SA,2022-06-12 02:51:35,17.4924,44.1277,75.85,14,6,4.54
145,Phonhong,LA,2022-06-12 02:51:36,18.5007,102.4166,84.76,73,98,0.49
146,Sechura,PE,2022-06-12 02:51:36,-5.5569,-80.8222,64.53,82,19,13.76
147,Shupiyan,IN,2022-06-12 02:51:36,33.7167,74.8333,64.69,57,50,3.09
148,Souillac,MU,2022-06-12 02:51:37,-20.5167,57.5167,68.38,100,75,3.44
149,Gamba,GA,2022-06-12 02:51:37,-2.65,10.0,73.94,93,0,2.66
150,Vanavara,RU,2022-06-12 02:51:38,60.34,102.2797,64.78,37,96,5.73
151,Qianan,CN,2022-06-12 02:51:38,44.9932,124.0581,72.03,64,100,12.59
152,Alice Springs,AU,2022-06-12 02:51:38,-23.7,133.8833,58.55,44,1,10.36
153,Havoysund,NO,2022-06-12 02:51:39,70.9963,24.6622,50.23,95,100,21.5
154,Waddan,LY,2022-06-12 02:51:39,29.1614,16.139,69.15,68,0,6.33
155,Dunda,TZ,2022-06-12 02:51:40,-8.1167,34.25,62.47,72,92,5.17
156,Tulun,RU,2022-06-12 02:51:40,54.5611,100.5792,73.76,41,48,7.63
157,Tagusao,PH,2022-06-12 02:51:40,9.1924,117.8141,86.38,61,89,3.11
158,Bowen,AU,2022-06-12 02:51:41,-20.0167,148.2333,67.8,37,100,5.46
159,Pevek,RU,2022-06-12 02:51:41,69.7008,170.3133,40.66,61,57,3.8
160,Gat,IL,2022-06-12 02:51:41,31.61,34.7642,80.4,29,0,3.71
161,Kavieng,PG,2022-06-12 02:51:42,-2.5744,150.7967,85.35,67,43,12.39
162,Chateaubelair,VC,2022-06-12 02:51:42,13.2833,-61.25,78.51,78,39,16.89
163,Kaitangata,NZ,2022-06-12 02:51:43,-46.2817,169.8464,45.66,73,100,4.03
164,Galashiels,GB,2022-06-12 02:51:43,55.6146,-2.807,51.69,82,94,18.1
165,Narsaq,GL,2022-06-12 02:51:43,60.9167,-46.05,44.11,91,100,2.28
166,Campo De Criptana,ES,2022-06-12 02:51:44,39.4046,-3.1249,69.42,37,27,12.71
