City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
147,Guerrero Negro,MX,27.9769,-114.0611,68.9,65,0,18.97,clear sky
148,Hithadhoo,MV,-0.6,73.0833,82.13,74,100,9.8,moderate rain
149,Sao Filipe,CV,14.8961,-24.4956,73.96,85,70,5.61,broken clouds
150,Pisco,PE,-13.7,-76.2167,64.02,72,4,3.44,haze
151,Esperance,AU,-33.8667,121.9,63.57,78,0,15.95,clear sky
152,Andros Town,BS,24.7,-77.7667,80.56,70,100,10.47,overcast clouds
153,Zhigansk,RU,66.7697,123.3711,53.64,47,0,20.56,clear sky
154,Homer,US,59.6425,-151.5483,60.67,64,40,18.01,scattered clouds
155,Tudora,RO,47.5167,26.6333,62.19,70,78,3.04,broken clouds
156,Tilichiki,RU,60.4667,166.1,48.58,66,100,11.12,overcast clouds
157,Baglan,AF,36.1307,68.7083,84.63,20,89,4.81,overcast clouds
158,Poso,ID,-1.3959,120.7524,83.7,65,52,2.62,broken clouds
159,Zhezkazgan,KZ,47.8043,67.7144,69.12,34,0,5.46,clear sky
160,Plettenberg Bay,ZA,-34.0527,23.3716,54.75,46,64,6.91,broken clouds
161,Santa Maria,BR,-29.6842,-53.8069,62.17,95,100,4.12,overcast clouds
162,Villa Del Rosario,CO,7.8339,-72.4742,80.98,69,40,3.44,scattered clouds
163,Galesong,ID,-5.3166,119.3661,80.62,75,70,2.77,broken clouds
164,Coquimbo,CL,-29.9533,-71.3436,53.33,87,0,5.75,clear sky
165,Hoganas,SE,56.1997,12.558,59.05,74,99,11.01,overcast clouds
166,Changtu,CN,42.7788,124.0955,71.26,76,64,11.5,broken clouds
167,Abu Dhabi,AE,24.4667,54.3667,87.82,80,0,5.75,clear sky
168,Punta Alta,AR,-38.8759,-62.0736,51.13,51,0,18.32,clear sky
169,Kodiak,US,57.79,-152.4072,56.71,72,100,3.44,overcast clouds
170,Mount Gambier,AU,-37.8333,140.7667,51.71,93,100,6.91,mist
171,Santa Rosa,PH,14.3122,121.1114,90.1,74,94,5.93,overcast clouds
172,Shobara,JP,34.85,133.0167,79.92,49,3,6.69,clear sky
173,Krasnaya Polyana,RU,56.242,51.1442,58.62,97,100,5.03,overcast clouds
174,Okhotsk,RU,59.3833,143.3,51.28,77,100,5.44,overcast clouds
175,Gizo,SB,-8.103,156.8419,84.33,66,12,6.46,few clouds
176,Nemuro,JP,43.3236,145.575,53.46,97,88,3.74,overcast clouds
177,Cosala,MX,24.4125,-106.6908,89.02,45,12,6.2,few clouds
178,Derzhavinsk,KZ,51.1,66.3167,71.26,48,90,3.11,overcast clouds
179,Yellowknife,CA,62.456,-114.3525,59.56,54,80,5.01,broken clouds
180,Pueblo Nuevo,MX,23.3833,-105.3833,68.07,71,56,3.96,broken clouds
181,Iquique,CL,-20.2208,-70.1431,60.84,76,64,4.21,broken clouds
182,Bogande,BF,12.9714,-0.1436,82.24,56,100,11.92,overcast clouds
183,Vallenar,CL,-28.5708,-70.7581,48.31,87,0,0.98,clear sky
184,Karoi,ZW,-16.8099,29.6925,55.22,59,5,5.17,clear sky
185,Nouadhibou,MR,20.931,-17.0347,67.01,82,0,26.69,clear sky
186,Cermik,TR,38.1361,39.4493,74.88,40,0,3.22,clear sky
187,Mahebourg,MU,-20.4081,57.7,70.25,88,20,1.14,few clouds
188,Awbari,LY,26.5921,12.7805,77.38,23,0,13.09,clear sky
189,Iqaluit,CA,63.7506,-68.5145,38.7,60,24,20.0,few clouds
190,Ilulissat,GL,69.2167,-51.1,50.02,43,100,14.97,overcast clouds
191,Buala,SB,-8.145,159.5921,83.28,74,87,9.64,light rain
192,Feni,BD,23.0186,91.41,78.26,91,100,12.21,moderate rain
193,Gunjur,GM,13.2019,-16.7339,78.87,89,0,8.05,clear sky
194,Dikson,RU,73.5069,80.5464,32.34,93,100,8.95,overcast clouds
195,Lompoc,US,34.6391,-120.4579,72.7,68,0,28.01,clear sky
196,Lerwick,GB,60.1545,-1.1494,55.4,96,100,13.6,overcast clouds
197,Vakhrushev,RU,48.9833,142.9667,52.75,84,91,4.47,overcast clouds
198,San Quintin,MX,30.4833,-115.95,67.39,69,1,6.64,clear sky
199,Provideniya,RU,64.3833,-173.3,44.37,87,40,13.0,scattered clouds
200,Kalaleh,IR,37.3807,55.4916,71.37,65,0,2.35,clear sky
201,Hami,CN,42.8,93.45,81.16,28,100,5.97,overcast clouds
202,Kruisfontein,ZA,-34.0033,24.7314,45.88,41,100,7.4,overcast clouds
203,Kaitangata,NZ,-46.2817,169.8464,45.77,63,8,2.8,clear sky
204,Alofi,NU,-19.0595,-169.9187,80.49,74,75,16.11,broken clouds
205,Kavaratti,IN,10.5669,72.642,81.82,79,100,11.3,overcast clouds
206,Mitsamiouli,KM,-11.3847,43.2844,76.75,68,0,4.59,clear sky
207,Ayan,RU,56.45,138.1667,45.19,88,66,7.92,broken clouds
208,Yayva,RU,59.3303,57.2641,64.18,98,69,3.42,broken clouds
209,Kloulklubed,PW,7.0419,134.2556,82.9,69,100,4.7,overcast clouds
210,Ribeira Grande,PT,38.5167,-28.7,67.08,89,0,3.09,clear sky
211,Chernyshevskiy,RU,63.0128,112.4714,65.12,44,100,5.95,overcast clouds
212,Coahuayana,MX,18.7333,-103.6833,79.72,80,100,4.12,overcast clouds
213,Tura,IN,25.5198,90.2201,73.62,98,100,6.93,very heavy rain
214,Lorengau,PG,-2.0226,147.2712,83.34,78,100,10.69,overcast clouds
215,Sambava,MG,-14.2667,50.1667,68.05,87,26,5.61,scattered clouds
216,Vrangel,RU,42.7297,133.0839,60.96,87,92,5.23,overcast clouds
217,Naryan-Mar,RU,67.6713,53.087,54.79,82,100,12.41,light rain
218,Goderich,CA,43.7501,-81.7165,66.16,78,0,14.52,clear sky
219,Vardo,NO,70.3705,31.1107,40.98,81,100,13.8,overcast clouds
220,Alice Springs,AU,-23.7,133.8833,60.35,48,0,0.0,clear sky
221,Krasnyy Chikoy,RU,50.3643,108.7512,71.4,62,30,2.71,scattered clouds
222,Karratha,AU,-20.7377,116.8463,76.59,42,84,10.38,broken clouds
223,Tashtyp,RU,52.7939,89.8983,61.03,64,76,3.65,broken clouds
224,Kumbo,CM,6.2,10.6667,58.46,97,100,2.62,light rain
225,Ngunguru,NZ,-35.6167,174.5,61.52,63,98,3.36,overcast clouds
226,Codrington,AU,-38.2667,141.9667,54.64,82,100,6.4,overcast clouds
227,San Francisco,US,37.7749,-122.4194,73.31,67,20,24.16,few clouds
228,Dasoguz,TM,41.8363,59.9666,75.02,37,0,5.68,clear sky
229,Tyrma,RU,50.0833,132.1667,60.03,94,100,5.77,moderate rain
230,Acajutla,SV,13.5928,-89.8275,76.6,90,100,13.87,light rain
231,High Level,CA,58.5169,-117.136,72.43,34,93,4.12,overcast clouds
232,Sawakin,SD,19.1059,37.3321,83.68,64,5,3.24,clear sky
233,Turukhansk,RU,65.8167,87.9833,64.17,72,100,3.8,overcast clouds
234,Sestri Levante,IT,44.2732,9.3968,76.06,86,21,3.0,few clouds
235,Huambo,AO,-12.7761,15.7392,49.91,29,7,3.04,clear sky
236,Bagotville,AU,-28.9833,153.4167,67.86,55,5,4.76,clear sky
237,Saldanha,ZA,-33.0117,17.9442,58.06,65,98,14.12,overcast clouds
238,Alta Floresta,BR,-9.8756,-56.0861,74.71,64,54,3.13,broken clouds
239,Katsuura,JP,35.1333,140.3,73.42,88,100,15.23,light rain
240,Yangambi,CD,0.8102,24.4336,68.77,99,100,1.39,moderate rain
241,San Andres,CO,12.5847,-81.7006,78.82,89,100,2.3,overcast clouds
242,Jacobina,BR,-11.1806,-40.5183,61.77,97,1,2.66,clear sky
243,Chapais,CA,49.7834,-74.8492,73.18,90,2,6.58,clear sky
