City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
405,Forestville,US,80.02,broken clouds,38.8451,-76.875,Quality Inn Near Joint Base Andrews-Washington Area
406,Muskogee,US,89.67,clear sky,35.5834,-95.3336,
410,Beatrice,US,84.29,scattered clouds,40.2681,-96.747,Victorian Inn Beatrice
412,Kalmunai,LK,78.55,overcast clouds,7.4167,81.8167,VS Villa
415,Beohari,IN,80.71,overcast clouds,24.05,81.3833,Shivanshu tiwari
416,Linxi,CN,79.84,clear sky,39.7,118.4333,Peace Hotel
418,Nago,JP,81.03,light rain,26.5881,127.9761,Hotel Yugaf Inn Okinawa
422,Gazanjyk,TM,75.78,clear sky,39.2446,55.5154,Railway motel
424,Mujiayingzi,CN,76.98,overcast clouds,42.1167,118.7833,Jinjiang Hotel
425,Meulaboh,ID,77.97,overcast clouds,4.1363,96.1285,Kost Pria
426,Honiara,SB,87.08,clear sky,-9.4333,159.95,Heritage Park Hotel
427,Kirakira,SB,83.77,broken clouds,-10.4544,161.9205,SanBiz Lodge
432,Thai Binh,VN,84.49,overcast clouds,20.45,106.3333,Sweden Hotel
433,Mawlaik,MM,77.38,overcast clouds,23.6333,94.4167,AKZ Guest House
434,Elizabeth City,US,78.82,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
436,Puerto Escondido,MX,79.21,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
437,Amalapuram,IN,83.19,overcast clouds,16.5833,82.0167,swayamprabha service apartments
439,Matay,EG,75.83,clear sky,28.419,30.7792,Nag Aespen
442,Iracoubo,GF,77.52,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
444,Hambantota,LK,78.8,overcast clouds,6.1241,81.1185,Bungalow 63
450,Ocos,GT,80.78,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
453,Dunmore Town,BS,81.37,overcast clouds,25.5,-76.65,Coral Sands Hotel
455,Yining,CN,78.26,overcast clouds,29.0361,114.5636,Xiushui Hotel
461,The Valley,AI,82.26,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
470,Faridpur,BD,82.09,moderate rain,23.6,89.8333,Progoti Muslim hostel
473,Port Blair,IN,82.81,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
476,Adrar,MR,88.03,clear sky,20.5022,-10.0711,
478,Ciudad Ojeda,VE,79.36,clear sky,10.1964,-71.3082,Hotel América
481,Baherden,TM,81.41,clear sky,38.4362,57.4316,
482,Angoram,PG,80.6,overcast clouds,-4.0625,144.0661,
489,Axim,GH,75.13,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
490,Kuala Terengganu,MY,80.44,overcast clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
491,Dalbandin,PK,88.74,clear sky,28.8947,64.4101,Sanjrani House
493,Hamilton,US,86.85,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
495,Powell,US,86.0,clear sky,40.1578,-83.0752,The Brig
501,Harper,LR,76.66,light rain,4.375,-7.7169,Screensaver
502,Riyadh,SA,86.14,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
507,Manggar,ID,79.68,light rain,-2.8833,108.2667,Guest Hotel
511,Jiwani,PK,83.21,overcast clouds,25.05,61.7417,Hamza hotel jiwani
516,Bahia Honda,CU,78.57,light rain,22.9036,-83.1592,Casa Gualberto - Deysi
519,Ashoknagar,IN,78.53,overcast clouds,24.5667,77.7167,Hotel Rajshree
524,Dingle,PH,85.41,few clouds,10.9995,122.6711,SEGAYA PROPERTY
528,Riberalta,BO,76.59,overcast clouds,-10.9833,-66.1,Hotel Colonial
529,Iralaya,HN,77.47,overcast clouds,15.0,-83.2333,Iglesia morava renovada
532,Basco,PH,85.24,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
533,Dakoro,NE,84.58,broken clouds,14.5106,6.765,Shagon mai liverpool
538,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
553,Dorado,PR,82.29,overcast clouds,18.4588,-66.2677,Embassy Suites by Hilton Dorado del Mar Beach Resort
557,Pak Phanang,TH,80.82,light rain,8.3511,100.202,Green Park Inn Hotel
561,Santiago De Cuba,CU,80.71,scattered clouds,20.0247,-75.8219,Cubanacan San Felix
562,Ishigaki,JP,82.53,light rain,24.3448,124.1572,Hotel Peace Land Ishigakijima
563,Tual,ID,82.74,few clouds,-5.6667,132.75,Grand Vilia Hotel
568,Marawi,PH,79.02,broken clouds,7.9986,124.2928,Derogongan Residence
570,Wewak,PG,77.74,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
573,Pacific Grove,US,76.39,clear sky,36.6177,-121.9166,Lovers Point Inn
574,Vaitape,PF,80.4,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
575,Morant Bay,JM,80.71,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
